Period,,,Calibration,,,,Analysis,,,Parameters,,,,,,
Start time,Finish Time,TimeStamp,Speicies,B filed (T),Area,Temperature (K),Polarization,Area,CC,A,G,r,wQ,wL,eta,xi
7/21/2022 16:18,7/28/2022 17:00,1658685141,Deuteron,5,-0.028111398,1.0849665,37.1312,-0.0267,-13.9028,0.069,0,1.801,0.027,32.682,-0.02,-0.169
,,1658685237,Deuteron,5,-0.027873499,1.08554271,37.553,-0.0266,-14.0919,0.069,0,1.815,0.027,32.682,-0.02,-0.179
,,1658685334,Deuteron,5,-0.028172686,1.08322396,37.903,-0.0267,-14.186,0.069,0,1.826,0.027,32.682,-0.02,-0.178
,,1658685430,Deuteron,5,-0.028150841,1.08482209,38.6965,-0.0269,-14.3873,0.07,0,1.853,0.027,32.682,-0.02,-0.19
,,1658685527,Deuteron,5,-0.027941429,1.08511077,36.9172,-0.0264,-13.9578,0.069,0,1.795,0.027,32.682,-0.02,-0.168
,,1658685623,Deuteron,5,-0.027702009,1.0866883,37.457,-0.0263,-14.2355,0.068,0,1.812,0.027,32.682,-0.02,-0.182
,,1658685720,Deuteron,5,-0.028649747,1.0865456,37.4796,-0.0267,-14.0363,0.069,0,1.813,0.027,32.682,-0.02,-0.185
,,1658685816,Deuteron,5,-0.028071507,1.0865456,38.1742,-0.0263,-14.521,0.067,0,1.835,0.027,32.682,-0.02,-0.185
,,1658685913,Deuteron,5,-0.028071167,1.08597337,37.599,-0.026,-14.4406,0.067,0,1.816,0.027,32.682,-0.02,-0.177
,,1658686009,Deuteron,5,-0.027754658,1.08453283,37.3816,-0.0266,-14.0294,0.069,0,1.809,0.027,32.682,-0.02,-0.167
,,1658686106,Deuteron,5,-0.028249652,1.08482209,37.8462,-0.0265,-14.2722,0.068,0,1.824,0.027,32.682,-0.02,-0.0187
,,1658686202,Deuteron,5,-0.027932349,1.084243,37.2388,-0.0266,-13.9793,0.069,0,1.805,0.027,32.682,-0.02,-0.18
7/28/2022 11:00,8/1/2022 11:00,1659206762,Deuteron,5,0.029272121,1.07862232,-11.9403,0.0313,-3.8207,0.087,0,0.835,0.027,32.682,-0.02,-0.085
,,1659206859,Deuteron,5,0.029608264,1.07862232,-8.7678,0.0311,-2.8207,0.086,0,0.876,0.027,32.682,-0.02,-0.091
,,1659206955,Deuteron,5,0.029298475,1.07952455,-9.9966,0.0312,-3.2031,0.086,0,0.86,0.027,32.682,-0.02,-0.097
,,1659207052,Deuteron,5,0.029813061,1.07967437,-9.4034,0.0315,-2.9813,0.087,0,0.868,0.027,32.682,-0.02,-0.106
,,1659207148,Deuteron,5,0.029519889,1.0789237,-8.8731,0.0313,-2.8391,0.085,0,0.875,0.027,32.682,-0.02,-0.091
,,1659207245,Deuteron,5,0.029857141,1.07952455,-8.729,0.0318,2.7459,0.089,0,0.877,0.027,32.682,-0.02,-0.099
,,1659207341,Deuteron,5,0.02938715,1.07952455,-9.5862,0.0311,-3.0803,0.086,0,0.866,0.027,32.682,-0.02,-0.107
,,1659207437,Deuteron,5,0.029451522,1.07907415,-8.8878,0.0314,-2.8271,0.086,0,0.875,0.027,32.682,-0.02,-0.094
,,1659207534,Deuteron,5,0.029761841,1.0789237,-8.9022,0.0318,-2.7959,0.088,0,0.875,0.027,32.682,-0.02,-0.093
,,1659207630,Deuteron,5,0.029245264,1.08042113,-9.602,0.0313,-3.0647,0.086,0,0.865,0.027,32.682,-0.02,-0.111
8/1/2022 9:50,8/8/2022 10:42,1659787386,Deuteron,5,-0.044654593,1.08409786,38.1191,-0.0446,-8.5405,0.071,0,1.833,0.027,32.682,-0.02,-0.145
,,1659787483,Deuteron,5,-0.044960656,1.08725772,38.3212,-0.0443,-8.642,0.07,0,1.84,0.027,32.682,-0.02,-0.145
,,1659787579,Deuteron,5,-0.044088914,1.08683087,38.8721,-0.0444,-8.7473,0.07,0,1.858,0.027,32.682,-0.02,-0.145
,,1659787676,Deuteron,5,-0.044440235,1.08366157,39.4179,-0.0447,-8.8249,0.071,0,1.877,0.027,32.682,-0.02,-0.153
,,1659787772,Deuteron,5,-0.044775807,1.0849665,38.3344,-0.0445,-8.6128,0.07,0,1.841,0.027,32.682,-0.02,-0.145
,,1659787869,Deuteron,5,-0.044269692,1.0849665,37.8872,-0.0448,-8.4576,0.071,0,1.826,0.027,32.682,-0.02,-0.14
,,1659787965,Deuteron,5,-0.044352766,1.08351585,38.7424,-0.0445,-8.7051,0.071,0,1.854,0.027,32.682,-0.02,-0.145
,,1659788061,Deuteron,5,-0.044758812,1.08979288,38.9194,-0.0446,-8.7246,0.071,0,1.86,0.027,32.682,-0.02,-0.156
,,1659788158,Deuteron,5,-0.044342144,1.08824887,38.0096,-0.0446,-8.5273,0.071,0,1.83,0.027,32.682,-0.02,-0.143
,,1659788254,Deuteron,5,-0.044840969,1.08366157,39.1462,-0.0446,-8.7788,0.071,0,1.868,0.027,32.682,-0.02,-0.155
,,1659788351,Deuteron,5,-0.044958771,1.08395258,38.5635,-0.0445,-8.6712,0.071,0,1.848,0.027,32.682,-0.02,-0.146
,,1659788447,Deuteron,5,-0.044788663,1.08482209,38.6779,-0.0447,-8.6507,0.071,0,1.852,0.027,32.682,-0.02,-0.147
,,1659788544,Deuteron,5,-0.044166146,1.08453283,38.9593,-0.0446,-8.7271,0.071,0,1.861,0.027,32.682,-0.02,-0.155
8/8/2022 10:45,8/11/2022 8:00,1660188285,Deuteron,5,0.029573774,1.08057002,-9.6834,0.0311,-3.1164,0.086,0,0.864,0.027,32.682,-0.02,-0.106
,,1660188381,Deuteron,5,0.029826325,1.07862232,-8.549,0.0312,-2.7399,0.085,0,0.879,0.027,32.682,-0.02,-0.111
,,1660188478,Deuteron,5,0.029880688,1.07967437,-6.9359,0.0312,-2.2242,0.085,0,0.901,0.027,32.682,-0.02,-0.134
,,1660188574,Deuteron,5,0.029717142,1.07832031,-9.7148,0.0313,-3.1086,0.086,0,0.864,0.027,32.682,-0.02,-0.102
,,1660188671,Deuteron,5,0.029746893,1.08027209,-10.291,0.0314,-3.2747,0.087,0,0.856,0.027,32.682,-0.02,-0.104
,,1660188767,Deuteron,5,0.030037518,1.07756249,-9.119,0.0315,-2.899,0.087,0,0.872,0.027,32.682,-0.02,-0.108
,,1660188864,Deuteron,5,0.030074356,1.0789237,-8.5518,0.0313,-2.7294,0.087,0,0.879,0.027,32.682,-0.02,-0.108
,,1660188960,Deuteron,5,0.029608487,1.07816907,-9.8167,0.0309,-3.1815,0.085,0,0.862,0.027,32.682,-0.02,-0.113
,,1660189057,Deuteron,5,0.029891261,1.07952455,-9.9017,0.0315,-3.1415,0.086,0,0.862,0.027,32.682,-0.02,-0.105
,,1660189153,Deuteron,5,0.029791798,1.07862232,-9.9021,0.0313,-3.1598,0.086,0,0.861,0.027,32.682,-0.02,-0.102
,,1660189250,Deuteron,5,0.029655042,1.07922444,-9.2721,0.0313,-2.9644,0.086,0,0.87,0.027,32.682,-0.02,-0.102
,,1660189346,Deuteron,5,0.029857374,1.07832031,-8.3689,0.0314,-2.6621,0.086,0,0.882,0.027,32.682,-0.02,-0.108
,,1660189442,Deuteron,5,0.02972386,1.07862232,-9.3837,0.0312,-3.0095,0.086,0,0.868,0.027,32.682,-0.02,-0.116
9/6/2022 12:00,9/9/2022 14:24,1662628898,Deuteron,5,-0.263243732,1.09296947,40.0223,-0.2752,-1.4541,0.078,0,1.898,0.027,32.685,-0.02,0.022
,,1662628995,Deuteron,5,-0.263195197,1.09007187,40.2393,0.2751,-1.4628,0.078,0,1.905,0.027,32.685,-0.02,0.02
,,1662629091,Deuteron,5,-0.263272733,1.09145883,40.0573,-0.2754,-1.4547,0.078,0,1.899,0.027,32.685,-0.02,0.022
,,1662629188,Deuteron,5,-0.263088828,1.09351496,40.2531,-0.275,-1.4637,0.078,0,1.906,0.027,32.685,-0.02,0.02
,,1662629284,Deuteron,5,-0.26367369,1.09473495,40.0957,-0.2755,-1.4554,0.079,0,1.9,0.027,32.685,-0.02,0.021
,,1662629381,Deuteron,5,-0.262869673,1.09214742,40.1686,-0.2748,-1.4619,0.078,0,1.903,0.027,32.685,-0.02,0.021
,,1662629477,Deuteron,5,-0.263036863,1.09310603,39.9197,-0.2751,-1.4509,0.078,0,1.894,0.027,32.685,-0.02,0.024
,,1662629574,Deuteron,5,-0.263604337,1.09132073,40.0805,-0.2752,-1.4564,0.079,0,1.9,0.027,32.685,-0.02,0.022
,,1662629670,Deuteron,5,-0.263159415,1.09214742,39.9953,-0.2751,-1.4536,0.078,0,1.897,0.027,32.685,-0.02,0.023
,,1662629767,Deuteron,5,-0.263325461,1.09269597,40.1432,-0.2753,-1.458,0.078,0,1.902,0.027,32.685,-0.02,0.021
,,1662629863,Deuteron,5,-0.263112107,1.08979288,39.9908,-0.275,-1.454,0.078,0,1.896,0.027,32.685,-0.02,0.023
9/9/2022 19:10,9/11/2022 13:30,1662796550,Deuteron,5,0.223180895,1.0789237,-33.948,0.2333,-1.4551,0.081,0,0.587,0.027,32.685,-0.02,-0.011
,,1662796647,Deuteron,5,0.223054729,1.07907415,-33.7843,0.2331,-1.4495,0.081,0,0.588,0.027,32.685,-0.02,-0.012
,,1662796743,Deuteron,5,0.223443369,1.07756249,-33.9346,0.2334,-1.4539,0.081,0,0.587,0.027,32.685,-0.02,-0.014
,,1662796840,Deuteron,5,0.222873402,1.08175559,-33.8284,0.2328,-1.4529,0.081,0,0.588,0.027,32.685,-0.02,-0.015
,,1662796936,Deuteron,5,0.223355949,1.08086733,-33.6386,0.2331,-1.4431,0.081,0,0.59,0.027,32.685,-0.02,-0.013
,,1662797033,Deuteron,5,0.223001591,1.07922444,-33.7665,0.2331,-1.4487,0.081,0,0.589,0.027,32.685,-0.02,-0.013
9/11/2022 14:00,9/13/2022 17:45,1663033199,Deuteron,5,0.217018202,1.08190311,-34.1953,0.2267,-1.5081,0.08,0,0.584,0.027,32.685,-0.02,-0.016
,,1663033296,Deuteron,5,0.216250721,1.08071875,-34.2871,0.2261,-1.5165,0.08,0,0.583,0.027,32.685,-0.02,-0.015
,,1663033392,Deuteron,5,0.216708696,1.08205047,-34.2474,0.2265,-1.5122,0.08,0,0.584,0.027,32.685,-0.02,-0.017
,,1663033489,Deuteron,5,0.21622702,1.08146012,-34.23,0.2259,-1.5156,0.08,0,0.584,0.027,32.685,-0.02,-0.018
,,1663033585,Deuteron,5,0.216435719,1.08146012,-34.2196,0.2262,-1.513,0.08,0,0.584,0.027,32.685,-0.02,-0.016
,,1663033682,Deuteron,5,0.216669369,1.08219768,-34.0168,0.2263,-1.5032,0.08,0,0.586,0.027,32.685,-0.02,-0.018
,,1663033778,Deuteron,5,0.216582581,1.08190311,-34.0947,0.2264,-1.5056,0.08,0,0.585,0.027,32.685,-0.02,-0.016
,,1663033875,Deuteron,5,0.216119892,1.08263841,-34.1852,0.2259,-1.5134,0.08,0,0.584,0.027,32.685,-0.02,-0.018
,,1663033971,Deuteron,5,0.21690603,1.08175559,-34.1549,0.2266,-1.5071,0.08,0,0.585,0.027,32.685,-0.02,-0.015
,,1663034067,Deuteron,5,0.216556953,1.08131215,-34.1302,0.2262,-1.5087,0.08,0,0.585,0.027,32.685,-0.02,-0.018
,,1663034164,Deuteron,5,0.216457832,1.07907415,-34.0718,0.2263,-1.5057,0.08,0,0.586,0.027,32.685,-0.02,-0.018
,,1663034260,Deuteron,5,0.216882765,1.08101576,-34.0855,0.2266,-1.5041,0.08,0,0.585,0.027,32.685,-0.02,-0.018
9/20/2022 10:15,9/22/2022 20:00,1663805216,Deuteron,5,-0.300269042,1.09365102,45.3393,-0.314,-1.4441,0.082,0,2.097,0.027,32.685,-0.02,0.019
,,1663805312,Deuteron,5,-0.300419791,1.09687919,45.3355,-0.3143,-1.4424,0.082,0,2.097,0.027,32.685,-0.02,0.018
,,1663805408,Deuteron,5,-0.300411493,1.09741042,45.4345,-0.3142,-1.4463,0.082,0,2.101,0.027,32.685,-0.02,0.016
,,1663805505,Deuteron,5,-0.300300053,1.08993244,45.502,-0.314,-1.4491,0.082,0,2.104,0.027,32.685,-0.02,0.015
,,1663805601,Deuteron,5,-0.300309956,1.09255902,45.3529,-0.3142,-1.4433,0.082,0,2.098,0.027,32.685,-0.02,0.018
9/22/2022 21:55,9/23/2022 14:50,1663925887,Deuteron,5,0.228203087,1.08205047,-35.4497,0.2384,-1.487,0.082,0,0.572,0.027,32.685,-0.02,0.007
,,1663925984,Deuteron,5,0.228006073,1.07862232,-35.2366,0.2382,-1.4791,0.082,0,0.574,0.027,32.685,-0.02,-0.011
,,1663926080,Deuteron,5,0.228129754,1.08278502,-35.3784,0.2384,-1.484,0.082,0,0.572,0.027,32.685,-0.02,-0.007
,,1663926177,Deuteron,5,0.228295337,1.07480052,-35.2957,0.2385,-1.4799,0.082,0,0.573,0.027,32.685,-0.02,-0.008
,,1663926273,Deuteron,5,0.227945393,1.07877309,-35.2867,0.2381,-1.4819,0.082,0,0.573,0.027,32.685,-0.02,-0.01
,,1663926369,Deuteron,5,0.228409484,1.08146012,-35.3718,0.2386,-1.4827,0.082,0,0.573,0.027,32.685,-0.02,-0.011
,,1663926466,Deuteron,5,0.228510585,1.07982403,-35.3999,0.2387,-1.483,0.082,0,0.572,0.027,32.685,-0.02,-0.005
,,1663926562,Deuteron,5,0.227911655,1.08116403,-35.2854,0.2383,-1.4808,0.082,0,0.573,0.027,32.685,-0.02,-0.01
,,1663926659,Deuteron,5,0.228190658,1.08234474,-35.4381,0.2383,-1.4873,0.082,0,0.572,0.027,32.685,-0.02,-0.007
,,1663926755,Deuteron,5,0.228141426,1.08175559,-35.3114,0.2383,-1.4819,0.082,0,0.573,0.027,32.685,-0.02,-0.006
10/19/2022 10:00,10/22/2022 21:00,1666343061,Deuteron,5,-0.290496137,1.09296947,44.846,-0.3033,-1.4787,0.079,0,2.077,0.027,32.679,-0.02,0.009
,,1666343157,Deuteron,5,-0.290286329,1.09145883,44.9335,-0.303,-1.483,0.079,0,2.081,0.027,32.679,-0.02,0.009
,,1666343254,Deuteron,5,-0.290413449,1.08467753,44.8574,-0.3033,-1.4792,0.079,0,2.078,0.027,32.679,-0.02,0.01
,,1666343350,Deuteron,5,-0.290396696,1.09310603,44.9672,-0.3031,-1.4834,0.079,0,2.082,0.027,32.679,-0.02,0.009
,,1666343447,Deuteron,5,-0.290165199,1.09296947,44.87,-0.3029,-1.4813,0.079,0,2.078,0.027,32.679,-0.02,0.01
,,1666343543,Deuteron,5,-0.290513491,1.09062823,44.8147,-0.3032,-1.4779,0.079,0,2.076,0.027,32.679,-0.02,0.011
,,1666343640,Deuteron,5,-0.290388475,1.09793975,44.8363,-0.3032,-1.4789,0.079,0,2.077,0.027,32.679,-0.02,0.01
,,1666343736,Deuteron,5,-0.290383311,1.08725772,44.8616,-0.3032,-1.4798,0.079,0,2.078,0.027,32.679,-0.02,0.009
,,1666343833,Deuteron,5,-0.290359509,1.08768333,44.8774,-0.3032,-1.4803,0.079,0,2.079,0.027,32.679,-0.02,0.01
10/22/2022 22:30,10/27/2022 12:00,1666682432,Deuteron,5,0.197965556,1.06650546,-32.1572,0.2072,-1.5522,0.083,0,0.605,0.027,32.679,-0.02,-0.02
,,1666682529,Deuteron,5,0.198722879,1.06650546,-32.4681,0.208,-1.5612,0.083,0,0.602,0.027,32.679,-0.02,-0.017
,,1666682625,Deuteron,5,0.198424637,1.07182572,-32.3694,0.2076,-1.5592,0.083,0,0.603,0.027,32.679,-0.02,-0.018
,,1666682722,Deuteron,5,0.197584879,1.06894867,-32.1973,0.2069,-1.5562,0.083,0,0.605,0.027,32.679,-0.02,-0.018
,,1666682818,Deuteron,5,0.198501842,1.07166741,-32.2285,0.2077,-1.5514,0.083,0,0.604,0.027,32.679,-0.02,-0.018
,,1666682915,Deuteron,5,0.198611915,1.0628434,-32.3852,0.2079,-1.5574,0.083,0,0.603,0.027,32.679,-0.02,-0.019
,,1666683011,Deuteron,5,0.198542796,1.08146012,-32.4974,0.2078,-1.5635,0.083,0,0.602,0.027,32.679,-0.02,-0.02
,,1666683107,Deuteron,5,0.198360622,1.07261463,-32.2418,0.2076,-1.5533,0.083,0,0.604,0.027,32.679,-0.02,-0.016
,,1666683204,Deuteron,5,0.198012441,1.08160793,-32.3585,0.2072,-1.5614,0.083,0,0.603,0.027,32.679,-0.02,-0.016
2/1/2023 10:15,2/5/2023 14:30,1675549968,Deuteron,5,-0.114844868,1.08219768,43.5126,-0.1199,-3.6304,0.078,0,2.025,0.027,32.698,-0.02,0.001
,,1675550040,Deuteron,5,-0.11487546,1.08482209,43.1092,-0.1198,-3.5996,0.078,0,2.01,0.027,32.698,-0.02,-0.006
,,1675550112,Deuteron,5,-0.114811422,1.08697329,43.6675,-0.1196,-3.6523,0.078,0,2.031,0.027,32.698,-0.02,-0.007
,,1675550185,Deuteron,5,-0.114828288,1.08683087,43.507,-0.1196,-3.6372,0.077,0,2.025,0.027,32.698,-0.02,-0.001
,,1675550257,Deuteron,5,-0.114510197,1.08438799,43.8983,-0.1195,-3.6741,0.077,0,2.04,0.027,32.698,-0.02,0
,,1675550329,Deuteron,5,-0.114550278,1.08278502,44.2182,-0.1195,-3.6995,0.077,0,2.052,0.027,32.698,-0.02,0.006
,,1675550402,Deuteron,5,-0.11469877,1.0830778,43.944,-0.1197,-3.6703,0.077,0,2.042,0.027,32.698,-0.02,0.002
,,1675550474,Deuteron,5,-0.114630813,1.08582996,43.2068,-0.1195,-3.6151,0.077,0,2.013,0.027,32.698,-0.02,0.001
,,1675550546,Deuteron,5,-0.114962748,1.0866883,43.0815,-0.1198,-3.5974,0.077,0,2.008,0.027,32.698,-0.02,0.001
,,1675550619,Deuteron,5,-0.114131732,1.0875416,43.5159,-0.119,-3.6569,0.077,0,2.025,0.027,32.698,-0.02,0
,,1675550691,Deuteron,5,-0.114546189,1.08438799,43.6891,-0.1196,-3.6538,0.077,0,2.032,0.027,32.698,-0.02,0.002
,,1675550763,Deuteron,5,-0.114720477,1.0830778,43.9394,-0.1196,-3.6744,0.077,0,2.041,0.027,32.698,-0.02,-0.011
,,1675550836,Deuteron,5,-0.114694121,1.0830778,44.1406,-0.1195,-3.6923,0.077,0,2.049,0.027,32.698,-0.02,-0.004
,,1675550908,Deuteron,5,-0.114692249,1.08539887,43.8046,-0.1197,-3.6594,0.077,0,2.036,0.027,32.698,-0.02,0.001
,,1675550980,Deuteron,5,-0.114991692,1.08611664,43.2981,-0.1198,-3.6137,0.078,0,2.017,0.027,32.698,-0.02,0.005
,,1675551053,Deuteron,5,-0.114660514,1.08640275,43.9298,-0.1195,-3.6751,0.078,0,2.041,0.027,32.698,-0.02,0.001
,,1675551125,Deuteron,5,-0.114600012,1.08467753,43.3897,-0.1196,-3.6277,0.077,0,2.02,0.027,32.698,-0.02,0.005
,,1675551197,Deuteron,5,-0.114735699,1.08175559,43.4028,-0.1196,-3.6293,0.077,0,2.021,0.027,32.698,-0.02,0.002
,,1675551270,Deuteron,5,-0.114803555,1.08438799,43.5416,-0.1199,-3.631,0.077,0,2.026,0.027,32.698,-0.02,0.003
,,1675551342,Deuteron,5,-0.114983974,1.0866883,43.844,-0.12,-3.653,0.077,0,2.038,0.027,32.698,-0.02,0
,,1675551414,Deuteron,5,-0.114670592,1.0866883,43.7939,-0.1196,-3.6624,0.077,0,2.036,0.027,32.698,-0.02,-0.001
,,1675551487,Deuteron,5,-0.114601012,1.084243,43.5615,-0.1195,-3.6443,0.077,0,2.027,0.027,32.698,-0.02,-0.001
,,1675551559,Deuteron,5,-0.114977807,1.08190311,43.6245,-0.12,-3.6343,0.078,0,2.029,0.027,32.698,-0.02,-0.002
